Comment,Designator,Footprint,LCSC Part #,Note
10uF,"C1,C2,C5",C_0603_1608Metric,C19702,
100pF,"C20,C21,C22,C23,C24",C_0402_1005Metric,C1546,
1.8pF,"C25,C26",C_0402_1005Metric,,подобрать номер на LCSC
22uF,C27,C_0603_1608Metric,C45783,
100nF,"C3,C4,C6,C29",C_0402_1005Metric,C1525,
10pF,C30,C_0402_1005Metric,C32949,
1uF,"C7,C28",C_0402_1005Metric,C52923,
B5819W,D1,D_SOD-123,C8598,
GREEN,D2,LED_0603_1608Metric,C72043,
100R@100MHz,FB2,L_0805_2012Metric,C1015,
BPF2450,FIL1,C_0603_1608Metric,,подобрать номер на LCSC
USB-C 16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,
U.FL RF_IN,J2,U.FL_Hirose_U.FL-R-SMT-1_Vertical,C88374,
4.3nH,L2,L_0402_1005Metric,,подобрать номер на LCSC
S8050,"Q1,Q2",SOT-23,C2150,
5.1k,"R1,R2",R_0402_1005Metric,C25905,
1k,R3,R_0402_1005Metric,C11702,
10k,"R4,R5,R6,R20,R21",R_0402_1005Metric,C25744,
ESP32-WROOM-32U-N4,U1,ESP32-WROOM-32U,C328062,
RFSW8009,U10,RFSW8009_DFN6_1.86x1.5,,подобрать номер на LCSC; футпринт из даташита
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186,
CH340C,U3,SOIC-16_3.9x9.9mm_P1.27mm,C84681,
QPF4219,U9,QPF4219_QFN24_3x5,C471154,"футпринт из даташита, EP/угловые площадки проверить"
