Designator,Mid X,Mid Y,Layer,Rotation
J1,33.000mm,-47.800mm,Top,0.0
R5,38.300mm,-34.050mm,Top,0.0
L1,47.600mm,-9.750mm,Top,0.0
R6,9.000mm,-6.400mm,Top,0.0
R2,31.000mm,-41.000mm,Top,0.0
C3,50.500mm,-32.500mm,Top,0.0
R42,23.500mm,-4.200mm,Top,-90.0
U3,33.500mm,-33.000mm,Top,0.0
R1,28.500mm,-41.000mm,Top,0.0
R43,25.500mm,-4.200mm,Top,-90.0
C9,38.200mm,-6.400mm,Top,90.0
R40,19.500mm,-4.200mm,Top,-90.0
R8,34.400mm,-10.250mm,Top,0.0
C1,47.000mm,-41.800mm,Top,0.0
D3,49.600mm,-14.000mm,Top,180.0
C11,43.600mm,-4.300mm,Top,0.0
C43,21.750mm,-8.600mm,Top,90.0
D1,41.500mm,-41.800mm,Top,0.0
C42,26.700mm,-15.000mm,Top,90.0
C8,30.500mm,-10.250mm,Top,0.0
R41,21.500mm,-4.200mm,Top,-90.0
U4,40.000mm,-9.500mm,Top,0.0
C5,9.000mm,-9.000mm,Top,0.0
U1,22.000mm,-14.000mm,Top,180.0
FB1,39.750mm,-4.300mm,Top,-90.0
D2,54.500mm,-40.000mm,Top,90.0
R13,46.500mm,-14.000mm,Top,0.0
R12,42.500mm,-14.200mm,Top,-90.0
C44,16.800mm,-18.800mm,Top,180.0
Q2,41.500mm,-35.000mm,Top,0.0
R4,38.300mm,-29.050mm,Top,0.0
C7,12.500mm,-6.400mm,Top,0.0
C12,44.000mm,-9.750mm,Top,0.0
C45,16.600mm,-11.750mm,Top,180.0
C41,28.200mm,-18.000mm,Top,-90.0
R11,38.000mm,-14.200mm,Top,-90.0
C14,49.700mm,-11.200mm,Top,-90.0
U2,48.000mm,-37.000mm,Top,0.0
Q1,41.500mm,-30.000mm,Top,0.0
C6,12.500mm,-9.000mm,Top,0.0
C13,46.000mm,-11.200mm,Top,-90.0
R3,54.500mm,-35.000mm,Top,-90.0
C10,41.300mm,-6.400mm,Top,90.0
C40,24.600mm,-19.300mm,Top,-90.0
C4,28.500mm,-30.000mm,Top,0.0
C2,47.000mm,-32.500mm,Top,0.0
